sample-id	faith_pd	Geodiversity	Niche	Slope
ITS-AS3000	36.242158954929955	Homogenous	Shrub	O1
ITS-AS3001	28.50508359448749	Homogenous	Shrub	O1
ITS-AS3002	21.15814595647505	Homogenous	Shrub	O1
ITS-AS3003	17.54692425027674	Homogenous	Shrub	O1
ITS-AS3004	29.30443812976655	Homogenous	Shrub	O1
ITS-AS3005	23.14802587112661	Homogenous	Intershrub	O1
ITS-AS3006	21.530819019493357	Homogenous	Intershrub	O1
ITS-AS3007	20.417688055199672	Homogenous	Intershrub	O1
ITS-AS3008	37.49549281267839	Homogenous	Intershrub	O1
ITS-AS3009	28.03819897547371	Homogenous	Intershrub	O1
ITS-AS3010	27.24374549906552	Homogenous	Shrub	O2
ITS-AS3011	22.184349619749646	Homogenous	Shrub	O2
ITS-AS3012	38.35765572177481	Homogenous	Shrub	O2
ITS-AS3013	14.80299875837634	Homogenous	Shrub	O2
ITS-AS3014	25.97139377235053	Homogenous	Shrub	O2
ITS-AS3015	32.15421857908137	Homogenous	Intershrub	O2
ITS-AS3016	24.0000429983663	Homogenous	Intershrub	O2
ITS-AS3017	20.20710199004213	Homogenous	Intershrub	O2
ITS-AS3018	31.25923633212801	Homogenous	Intershrub	O2
ITS-AS3019	26.73335058461759	Homogenous	Intershrub	O2
ITS-AS3020	30.27891039837854	Homogenous	Shrub	O3
ITS-AS3021	37.175482700915595	Homogenous	Shrub	O3
ITS-AS3022	24.69275185241753	Homogenous	Shrub	O3
ITS-AS3023	32.03615940183957	Homogenous	Shrub	O3
ITS-AS3025	26.498957643052545	Homogenous	Intershrub	O3
ITS-AS3026	28.679186115877403	Homogenous	Intershrub	O3
ITS-AS3028	24.14159412490852	Homogenous	Intershrub	O3
ITS-AS3029	26.62045152042304	Homogenous	Intershrub	O3
ITS-AS3031	29.475249006357576	Heterogenous	Shrub	H1
ITS-AS3032	20.086323863160448	Heterogenous	Shrub	H1
ITS-AS3033	31.86313122661263	Heterogenous	Shrub	H1
ITS-AS3034	30.372232082414893	Heterogenous	Shrub	H1
ITS-AS3036	26.11001031909696	Heterogenous	Intershrub	H1
ITS-AS3037	18.488644586240987	Heterogenous	Intershrub	H1
ITS-AS3038	13.891254459153636	Heterogenous	Intershrub	H1
ITS-AS3039	29.601545047361927	Heterogenous	Intershrub	H1
ITS-AS3040	20.775947524299294	Heterogenous	Shrub	H2
ITS-AS3041	29.94356979367621	Heterogenous	Shrub	H2
ITS-AS3042	29.8051335199516	Heterogenous	Shrub	H2
ITS-AS3044	24.20837579179076	Heterogenous	Shrub	H2
ITS-AS3045	23.779336544918532	Heterogenous	Intershrub	H2
ITS-AS3046	32.247367893210225	Heterogenous	Intershrub	H2
ITS-AS3047	31.21108417668478	Heterogenous	Intershrub	H2
ITS-AS3049	20.486428867893274	Heterogenous	Intershrub	H2
ITS-AS3050	10.863598754534586	Heterogenous	Shrub	H3
ITS-AS3051	24.018038964695386	Heterogenous	Shrub	H3
ITS-AS3052	38.896529282195935	Heterogenous	Shrub	H3
ITS-AS3053	27.74622418803927	Heterogenous	Shrub	H3
ITS-AS3054	28.633575179476466	Heterogenous	Shrub	H3
ITS-AS3055	33.88123988522254	Heterogenous	Intershrub	H3
ITS-AS3056	30.56581296745516	Heterogenous	Intershrub	H3
ITS-AS3057	31.444134471218323	Heterogenous	Intershrub	H3
ITS-AS3058	25.25234298434001	Heterogenous	Intershrub	H3
ITS-AS3059	15.116504651617019	Heterogenous	Intershrub	H3
