	R1_count	R2_count	R1_mode_length	R1_count_at_mode_length	R2_mode_length	R2_count_at_mode_length	Mode_overlap	Count_at_mode_overlap
AS3033	11047	11615	130	11047	130	10643	8	8153
AS3074	4145	5154	130	4145	130	4008	8	3019
AS3053	61	121	130	61	130	58	8	36
AS3026	1317	1633	130	1317	130	1271	8	973
AS3057	26070	27878	130	26070	130	25483	8	20352
AS3032	12978	13025	130	12978	130	12586	8	8750
AS3012	11811	12244	130	11811	130	11416	8	8715
AS3038	24305	24407	130	24305	130	23869	8	20331
AS3072	18466	19308	130	18466	130	18025	8	13771
AS3013	10912	11204	130	10912	130	10614	8	8325
AS3046	12171	12679	130	12171	130	11899	8	9445
AS3050	42978	44936	130	42978	130	42155	8	34160
AS3030	20	21	130	20	130	20	0	15
AS3055	12160	12869	130	12160	130	11797	8	8722
AS3034	10673	11169	130	10673	130	10300	8	7876
AS3051	7491	8111	130	7491	130	7222	8	5196
AS3029	6704	6900	130	6704	130	6586	8	5144
AS3073	4010	5033	130	4010	130	3865	8	3060
AS3061	2401	2733	130	2401	130	2291	8	1763
AS3017	38321	46070	130	38321	130	37475	8	29698
AS3041	9097	9895	130	9097	130	8827	8	6856
AS3058	39150	40701	130	39150	130	38289	8	31760
AS3010	16540	16989	130	16540	130	16112	8	12864
AS3015	9779	10757	130	9779	130	9447	8	7006
AS3067	13635	14532	130	13635	130	13237	8	10023
AS3042	10837	11221	130	10837	130	10559	8	7994
AS3021	7605	8127	130	7605	130	7268	8	5408
AS3002	7432	8002	130	7432	130	7172	8	5407
AS3044	12643	12915	130	12643	130	12266	8	9186
AS3016	22066	26960	130	22066	130	21395	8	16906
AS3066	4698	5285	130	4698	130	4563	8	3406
AS3048	7547	8737	130	7547	130	7279	8	5476
AS3005	14525	15240	130	14525	130	14115	8	10842
AS3065	1070	1382	130	1070	130	1014	8	722
AS3018	11907	12423	130	11907	130	11495	8	8475
AS3063	11042	11668	130	11042	130	10705	8	8186
AS3027	9803	9833	130	9803	130	9570	8	7431
AS3037	7909	9104	130	7909	130	7648	8	5742
AS3001	12525	14342	130	12525	130	12112	8	9061
AS3036	171	170	130	171	130	148	8	106
AS3062	101	242	130	101	130	91	8	65
AS3024	10954	12465	130	10954	130	10596	8	7810
AS3049	34263	35200	130	34263	130	33650	8	28312
AS3022	28596	34607	130	28596	130	27743	8	22172
AS3006	33363	34349	130	33363	130	32537	8	26879
AS3004	17147	17931	130	17147	130	16693	8	12551
AS3040	9232	9440	130	9232	130	8988	8	7037
AS3000	19931	20262	130	19931	130	19463	8	15092
AS3060	1958	2133	130	1958	130	1907	8	1482
AS3020	10952	11263	130	10952	130	10665	8	8268
AS3056	43103	43538	130	43103	130	41693	8	34865
AS3008	183	261	130	183	130	157	8	103
AS3028	10969	11116	130	10969	130	10778	8	8531
AS3014	14791	15110	130	14791	130	14488	8	11242
AS3052	1175	1558	130	1175	130	1132	8	817
AS3035	40118	44251	130	40118	130	39135	8	32289
AS3025	19575	19766	130	19575	130	19157	8	12594
AS3019	11429	11774	130	11429	130	11129	8	8318
AS3054	9026	10547	130	9026	130	8647	8	6379
AS3043	32905	33807	130	32905	130	32376	8	28092
AS3075	8189	8493	130	8189	130	7997	8	6192
AS3071	9264	9490	130	9264	130	9055	8	7021
AS3070	10803	11315	130	10803	130	10514	8	7820
AS3064	9700	9838	130	9700	130	9331	8	7055
AS3031	45541	46068	130	45541	130	44877	8	38728
AS3003	16789	17229	130	16789	130	16396	8	12261
AS3011	16581	17471	130	16581	130	16303	8	12499
AS3045	9356	9762	130	9356	130	9106	8	6624
AS3059	8495	8833	130	8495	130	8291	8	6730
AS3039	9160	10175	130	9160	130	8943	8	6605
AS3007	11748	12539	130	11748	130	11263	8	8633
AS3009	15144	15669	130	15144	130	14737	8	11426
AS3023	30699	32463	130	30699	130	30041	8	24678
AS3047	29918	31591	130	29918	130	29292	8	23692
